,accuracy,f1_score_weighted,f1_score_macro,recall_weighted,recall_score_macro,activities_train,activities_test,n_outputs,n_features,n_timesteps,n_epochs,batch_size,kfold_iteration,model_name,validation,sensors,dataset
4,0.3290219702338767,0.2696247173395938,0.11392220337858769,0.3290219702338767,0.15059840827932433,[  13.   95.  265.  214. 1654.   62. 2545.  690.   69.  493. 1296. 1477.  856.  724. 1339.  714.  424.   33. 3311.  396.  247.  221.],[   0.    4.   38.   47.  532.    0.  909.  211.   57.  214.  390.  430.  402.  351.  255.  277.  195.   18. 1091.   71.   99.   53.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,4,lro,"LF,LW,ST,RW,RF",22labels
0,0.38951064296686416,0.35872567227953756,0.124736817381059,0.38951064296686416,0.14184087786304905,[   9.   95.  275.  215. 1777.   62. 2298.  720.  109.  480. 1461. 1547. 1157.  760. 1428.  913.  500.   41. 3615.  249.  284.  230.],[   4.    4.   28.   46.  409.    0. 1156.  181.   17.  227.  225.  360.  101.  315.  166.   78.  119.   10.  787.  218.   62.   44.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,0,lwo,"LF,LW,ST,RW,RF",22labels
1,0.3271889400921659,0.2279502158260289,0.0833578181084536,0.3271889400921659,0.10829965495031764,[   8.   25.  188.  224. 1898.   62. 2836.  737.  101.  628. 1482. 1440. 1084.  834. 1051.  784.  542.   41. 3466.  311.  293.  190.],[  5.  74. 115.  37. 288.   0. 618. 164.  25.  79. 204. 467. 174. 241. 543. 207.  77.  10. 936. 156.  53.  84.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,1,lwo,"LF,LW,ST,RW,RF",22labels
2,0.2811676909569798,0.19991933687138155,0.10053654565457235,0.2811676909569798,0.1447692880852695,[  13.   93.  266.  152. 1854.    0. 3066.  726.   86.  559. 1199. 1431.  852.  965. 1155.  820.  431.   45. 3547.  458.  275.  233.],[  0.   6.  37. 109. 332.  62. 388. 175.  40. 148. 487. 476. 406. 110. 439. 171. 188.   6. 855.   9.  71.  41.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,2,lwo,"LF,LW,ST,RW,RF",22labels
3,0.37467076382791925,0.2954824100700959,0.11386378446834393,0.37467076382791925,0.13200037207271148,[   9.   88.  234.  247. 1662.   62. 2624.  681.  113.  549. 1366. 1588. 1017.  852. 1323.  722.  529.   36. 3573.  439.  268.  244.],[  4.  11.  69.  14. 524.   0. 830. 220.  13. 158. 320. 319. 241. 223. 271. 269.  90.  15. 829.  28.  78.  30.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,3,lwo,"LF,LW,ST,RW,RF",22labels
4,0.2956540825285338,0.24160212210654278,0.11757975396948292,0.2956540825285338,0.14503117719777223,[  13.   95.  249.  206. 1553.   62. 2992.  740.   95.  612. 1236. 1622.  922.  889. 1419.  725.  474.   41. 3407.  411.  264.  199.],[  0.   4.  54.  55. 633.   0. 462. 161.  31.  95. 450. 285. 336. 186. 175. 266. 145.  10. 995.  56.  82.  75.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,4,lwo,"LF,LW,ST,RW,RF",22labels
0,0.4163866632204704,0.3770565370419826,0.18443776255637448,0.4163866632204704,0.20221036537787715,[   9.   43.  241.  206. 1772.   62. 3071.  704.  103.  632. 1350. 1497. 1111.  979. 1089.  912.  514.   49. 3570.  461.  292.  246.],[  4.  56.  62.  55. 414.   0. 383. 197.  23.  75. 336. 410. 147.  96. 505.  79. 105.   2. 832.   6.  54.  28.],22,70,600,convlstm,5,5,128,"[32, 64]",False,1,64,0,kfold,"LF,LW,ST,RW,RF",22labels
1,0.4980129679983267,0.4577048511373987,0.2668401464938498,0.4980129679983267,0.28564778266117635,[  13.   97.  280.  228. 1822.   62. 2697.  769.   75.  592. 1296. 1448.  956.  773. 1354.  838.  469.   35. 3429.  303.  284.  181.],[  0.   2.  23.  33. 364.   0. 757. 132.  51. 115. 390. 459. 302. 302. 240. 153. 150.  16. 973. 164.  62.  93.],22,70,600,convlstm,5,5,128,"[32, 64]",False,1,64,1,kfold,"LF,LW,ST,RW,RF",22labels
2,0.3537015276145711,0.3277449008201986,0.17015105988052656,0.3537015276145711,0.1989721860109377,[   9.   93.  234.  181. 1686.    0. 3219.  722.  101.  608. 1260. 1660.  918.  929. 1165.  803.  537.   45. 3438.  459.  254.  206.],[  4.   6.  69.  80. 500.  62. 235. 179.  25.  99. 426. 247. 340. 146. 429. 188.  82.   6. 964.   8.  92.  68.],22,70,600,convlstm,5,5,128,"[32, 64]",False,1,64,2,kfold,"LF,LW,ST,RW,RF",22labels
3,0.4302351131619424,0.3962559112328347,0.18579921115465212,0.4302351131619424,0.20504993368398342,[  10.   70.  189.  228. 1764.   62. 2559.  761.  121.  526. 1380. 1583.  961.  905. 1373.  600.  505.   45. 3616.  467.  278.  228.],[  3.  29. 114.  33. 422.   0. 895. 140.   5. 181. 306. 324. 297. 170. 221. 391. 114.   6. 786.   0.  68.  46.],22,70,600,convlstm,5,5,128,"[32, 64]",False,1,64,3,kfold,"LF,LW,ST,RW,RF",22labels
